INSERT ALL 
 INTO "PSE1"."Warenkorb" VALUES ('0', '1727') 
 INTO "PSE1"."Warenkorb" VALUES ('1', '897') 
 INTO "PSE1"."Warenkorb" VALUES ('2', '1958') 
 INTO "PSE1"."Warenkorb" VALUES ('3', '1563') 
 INTO "PSE1"."Warenkorb" VALUES ('4', '1120') 
 INTO "PSE1"."Warenkorb" VALUES ('5', '295') 
 INTO "PSE1"."Warenkorb" VALUES ('6', '493') 
 INTO "PSE1"."Warenkorb" VALUES ('7', '503') 
 INTO "PSE1"."Warenkorb" VALUES ('8', '1257') 
 INTO "PSE1"."Warenkorb" VALUES ('9', '1980') 
 INTO "PSE1"."Warenkorb" VALUES ('10', '636') 
 INTO "PSE1"."Warenkorb" VALUES ('11', '577') 
 INTO "PSE1"."Warenkorb" VALUES ('12', '1735') 
 INTO "PSE1"."Warenkorb" VALUES ('13', '166') 
 INTO "PSE1"."Warenkorb" VALUES ('14', '996') 
 INTO "PSE1"."Warenkorb" VALUES ('15', '1355') 
 INTO "PSE1"."Warenkorb" VALUES ('16', '977') 
 INTO "PSE1"."Warenkorb" VALUES ('17', '498') 
 INTO "PSE1"."Warenkorb" VALUES ('18', '711') 
 INTO "PSE1"."Warenkorb" VALUES ('19', '766') 
 INTO "PSE1"."Warenkorb" VALUES ('20', '1112') 
 INTO "PSE1"."Warenkorb" VALUES ('21', '513') 
 INTO "PSE1"."Warenkorb" VALUES ('22', '1578') 
 INTO "PSE1"."Warenkorb" VALUES ('23', '703') 
 INTO "PSE1"."Warenkorb" VALUES ('24', '830') 
 INTO "PSE1"."Warenkorb" VALUES ('25', '160') 
 INTO "PSE1"."Warenkorb" VALUES ('26', '1969') 
 INTO "PSE1"."Warenkorb" VALUES ('27', '1789') 
 INTO "PSE1"."Warenkorb" VALUES ('28', '1045') 
 INTO "PSE1"."Warenkorb" VALUES ('29', '1228') 
 INTO "PSE1"."Warenkorb" VALUES ('30', '1584') 
 INTO "PSE1"."Warenkorb" VALUES ('31', '1109') 
 INTO "PSE1"."Warenkorb" VALUES ('32', '1733') 
 INTO "PSE1"."Warenkorb" VALUES ('33', '327') 
 INTO "PSE1"."Warenkorb" VALUES ('34', '1737') 
 INTO "PSE1"."Warenkorb" VALUES ('35', '251') 
 INTO "PSE1"."Warenkorb" VALUES ('36', '864') 
 INTO "PSE1"."Warenkorb" VALUES ('37', '465') 
 INTO "PSE1"."Warenkorb" VALUES ('38', '1354') 
 INTO "PSE1"."Warenkorb" VALUES ('39', '187') 
 INTO "PSE1"."Warenkorb" VALUES ('40', '223') 
 INTO "PSE1"."Warenkorb" VALUES ('41', '1968') 
 INTO "PSE1"."Warenkorb" VALUES ('42', '1577') 
 INTO "PSE1"."Warenkorb" VALUES ('43', '1220') 
 INTO "PSE1"."Warenkorb" VALUES ('44', '215') 
 INTO "PSE1"."Warenkorb" VALUES ('45', '1128') 
 INTO "PSE1"."Warenkorb" VALUES ('46', '557') 
 INTO "PSE1"."Warenkorb" VALUES ('47', '1998') 
 INTO "PSE1"."Warenkorb" VALUES ('48', '496') 
 INTO "PSE1"."Warenkorb" VALUES ('49', '163') 
 INTO "PSE1"."Warenkorb" VALUES ('50', '162') 
 INTO "PSE1"."Warenkorb" VALUES ('51', '795') 
 INTO "PSE1"."Warenkorb" VALUES ('52', '869') 
 INTO "PSE1"."Warenkorb" VALUES ('53', '707') 
 INTO "PSE1"."Warenkorb" VALUES ('54', '1910') 
 INTO "PSE1"."Warenkorb" VALUES ('55', '885') 
 INTO "PSE1"."Warenkorb" VALUES ('56', '754') 
 INTO "PSE1"."Warenkorb" VALUES ('57', '1409') 
 INTO "PSE1"."Warenkorb" VALUES ('58', '1690') 
 INTO "PSE1"."Warenkorb" VALUES ('59', '1723') 
 INTO "PSE1"."Warenkorb" VALUES ('60', '1662') 
 INTO "PSE1"."Warenkorb" VALUES ('61', '1436') 
 INTO "PSE1"."Warenkorb" VALUES ('62', '1458') 
 INTO "PSE1"."Warenkorb" VALUES ('63', '996') 
 INTO "PSE1"."Warenkorb" VALUES ('64', '1924') 
 INTO "PSE1"."Warenkorb" VALUES ('65', '1693') 
 INTO "PSE1"."Warenkorb" VALUES ('66', '459') 
 INTO "PSE1"."Warenkorb" VALUES ('67', '1564') 
 INTO "PSE1"."Warenkorb" VALUES ('68', '742') 
 INTO "PSE1"."Warenkorb" VALUES ('69', '1203') 
 INTO "PSE1"."Warenkorb" VALUES ('70', '1245') 
 INTO "PSE1"."Warenkorb" VALUES ('71', '1937') 
 INTO "PSE1"."Warenkorb" VALUES ('72', '80') 
 INTO "PSE1"."Warenkorb" VALUES ('73', '616') 
 INTO "PSE1"."Warenkorb" VALUES ('74', '503') 
 INTO "PSE1"."Warenkorb" VALUES ('75', '1443') 
 INTO "PSE1"."Warenkorb" VALUES ('76', '1786') 
 INTO "PSE1"."Warenkorb" VALUES ('77', '1336') 
 INTO "PSE1"."Warenkorb" VALUES ('78', '855') 
 INTO "PSE1"."Warenkorb" VALUES ('79', '974') 
 INTO "PSE1"."Warenkorb" VALUES ('80', '316') 
 INTO "PSE1"."Warenkorb" VALUES ('81', '1051') 
 INTO "PSE1"."Warenkorb" VALUES ('82', '838') 
 INTO "PSE1"."Warenkorb" VALUES ('83', '1778') 
 INTO "PSE1"."Warenkorb" VALUES ('84', '654') 
 INTO "PSE1"."Warenkorb" VALUES ('85', '618') 
 INTO "PSE1"."Warenkorb" VALUES ('86', '1278') 
 INTO "PSE1"."Warenkorb" VALUES ('87', '1621') 
 INTO "PSE1"."Warenkorb" VALUES ('88', '676') 
 INTO "PSE1"."Warenkorb" VALUES ('89', '484') 
 INTO "PSE1"."Warenkorb" VALUES ('90', '1193') 
 INTO "PSE1"."Warenkorb" VALUES ('91', '1377') 
 INTO "PSE1"."Warenkorb" VALUES ('92', '1821') 
 INTO "PSE1"."Warenkorb" VALUES ('93', '1465') 
 INTO "PSE1"."Warenkorb" VALUES ('94', '1575') 
 INTO "PSE1"."Warenkorb" VALUES ('95', '1667') 
 INTO "PSE1"."Warenkorb" VALUES ('96', '646') 
 INTO "PSE1"."Warenkorb" VALUES ('97', '1676') 
 INTO "PSE1"."Warenkorb" VALUES ('98', '1772') 
 INTO "PSE1"."Warenkorb" VALUES ('99', '100') 
 INTO "PSE1"."Warenkorb" VALUES ('100', '1137') 
 INTO "PSE1"."Warenkorb" VALUES ('101', '574') 
 INTO "PSE1"."Warenkorb" VALUES ('102', '272') 
 INTO "PSE1"."Warenkorb" VALUES ('103', '1949') 
 INTO "PSE1"."Warenkorb" VALUES ('104', '1994') 
 INTO "PSE1"."Warenkorb" VALUES ('105', '184') 
 INTO "PSE1"."Warenkorb" VALUES ('106', '606') 
 INTO "PSE1"."Warenkorb" VALUES ('107', '1900') 
 INTO "PSE1"."Warenkorb" VALUES ('108', '359') 
 INTO "PSE1"."Warenkorb" VALUES ('109', '79') 
 INTO "PSE1"."Warenkorb" VALUES ('110', '50') 
 INTO "PSE1"."Warenkorb" VALUES ('111', '1846') 
 INTO "PSE1"."Warenkorb" VALUES ('112', '556') 
 INTO "PSE1"."Warenkorb" VALUES ('113', '1604') 
 INTO "PSE1"."Warenkorb" VALUES ('114', '84') 
 INTO "PSE1"."Warenkorb" VALUES ('115', '1397') 
 INTO "PSE1"."Warenkorb" VALUES ('116', '972') 
 INTO "PSE1"."Warenkorb" VALUES ('117', '704') 
 INTO "PSE1"."Warenkorb" VALUES ('118', '653') 
 INTO "PSE1"."Warenkorb" VALUES ('119', '1151') 
 INTO "PSE1"."Warenkorb" VALUES ('120', '615') 
 INTO "PSE1"."Warenkorb" VALUES ('121', '1911') 
 INTO "PSE1"."Warenkorb" VALUES ('122', '1770') 
 INTO "PSE1"."Warenkorb" VALUES ('123', '1486') 
 INTO "PSE1"."Warenkorb" VALUES ('124', '1303') 
 INTO "PSE1"."Warenkorb" VALUES ('125', '74') 
 INTO "PSE1"."Warenkorb" VALUES ('126', '790') 
 INTO "PSE1"."Warenkorb" VALUES ('127', '300') 
 INTO "PSE1"."Warenkorb" VALUES ('128', '922') 
 INTO "PSE1"."Warenkorb" VALUES ('129', '1552') 
 INTO "PSE1"."Warenkorb" VALUES ('130', '950') 
 INTO "PSE1"."Warenkorb" VALUES ('131', '1851') 
 INTO "PSE1"."Warenkorb" VALUES ('132', '363') 
 INTO "PSE1"."Warenkorb" VALUES ('133', '279') 
 INTO "PSE1"."Warenkorb" VALUES ('134', '1619') 
 INTO "PSE1"."Warenkorb" VALUES ('135', '1450') 
 INTO "PSE1"."Warenkorb" VALUES ('136', '1250') 
 INTO "PSE1"."Warenkorb" VALUES ('137', '1206') 
 INTO "PSE1"."Warenkorb" VALUES ('138', '1649') 
 INTO "PSE1"."Warenkorb" VALUES ('139', '1871') 
 INTO "PSE1"."Warenkorb" VALUES ('140', '252') 
 INTO "PSE1"."Warenkorb" VALUES ('141', '1229') 
 INTO "PSE1"."Warenkorb" VALUES ('142', '918') 
 INTO "PSE1"."Warenkorb" VALUES ('143', '1923') 
 INTO "PSE1"."Warenkorb" VALUES ('144', '105') 
 INTO "PSE1"."Warenkorb" VALUES ('145', '1737') 
 INTO "PSE1"."Warenkorb" VALUES ('146', '975') 
 INTO "PSE1"."Warenkorb" VALUES ('147', '1313') 
 INTO "PSE1"."Warenkorb" VALUES ('148', '72') 
 INTO "PSE1"."Warenkorb" VALUES ('149', '488') 
 INTO "PSE1"."Warenkorb" VALUES ('150', '632') 
 INTO "PSE1"."Warenkorb" VALUES ('151', '478') 
 INTO "PSE1"."Warenkorb" VALUES ('152', '1531') 
 INTO "PSE1"."Warenkorb" VALUES ('153', '250') 
 INTO "PSE1"."Warenkorb" VALUES ('154', '1494') 
 INTO "PSE1"."Warenkorb" VALUES ('155', '1731') 
 INTO "PSE1"."Warenkorb" VALUES ('156', '1891') 
 INTO "PSE1"."Warenkorb" VALUES ('157', '896') 
 INTO "PSE1"."Warenkorb" VALUES ('158', '154') 
 INTO "PSE1"."Warenkorb" VALUES ('159', '1185') 
 INTO "PSE1"."Warenkorb" VALUES ('160', '594') 
 INTO "PSE1"."Warenkorb" VALUES ('161', '1160') 
 INTO "PSE1"."Warenkorb" VALUES ('162', '1595') 
 INTO "PSE1"."Warenkorb" VALUES ('163', '197') 
 INTO "PSE1"."Warenkorb" VALUES ('164', '1624') 
 INTO "PSE1"."Warenkorb" VALUES ('165', '165') 
 INTO "PSE1"."Warenkorb" VALUES ('166', '819') 
 INTO "PSE1"."Warenkorb" VALUES ('167', '589') 
 INTO "PSE1"."Warenkorb" VALUES ('168', '986') 
 INTO "PSE1"."Warenkorb" VALUES ('169', '1795') 
